CodigoPersona;Clase;Entidad de depósito;Saldo medio anual o valor (euros);
1;Cuenta corriente; Bankia;3812,36;
1;Cuenta corriente;Bankia (Caja Ávila);1731,38;
1;Cuenta corriente;Bankia (Caja Ávila);2378,04;
1;Cuenta corriente;Banco Santander;16332;
1;Cuenta corriente;Open Bank;800,53;
2;Cuenta corriente;Bankia;2089,5;
2;Cuenta corriente;Bankia;29502,57;
3;Cuenta corriente;ING Direct;6852,14;
3;Cuenta naranja;ING Direct;75378,75;
4;Cuenta corriente;Bankia (50%);2500;
4;Cuenta corriente;Banco Santander (50%);1500;
5;Cuenta corriente;La Caixa;31.866,00 € (saldo a 11/07/2016);
6;Cuenta corriente;Banco Sabadell;12000;
6;Depósito a plazo;Banco Sabadell;50000;
6;Cuenta corriente;Société Générale (París);10200;
6;Depósito a plazo;Société Générale (París);23350;
6;Plan Èpargne Logement (PER);Société Générale (París);15261;
7;Cuenta Corriente;Banco Santander;5000;
8;Libreta de ahorro;Bankia;1200;
8;Libreta de ahorro;Bankia;300;
9;Cuenta corriente;Catalunya Banc;5143,28;
9;Cuenta corriente;Catalunya Banc;91000;
10;Cuenta corriente;Entidad en Madrid;55100;
10;Cuenta corriente;Entidad en Madrid;25673;
10;Cuenta corriente;Entidad en Madrid;7011;
10;Cuenta corriente;Entidad en Madrid;4826;
10;Cuenta corriente;Entidad en Madrid;5400;
10;Cuenta corriente;Entidad en Nueva York;2242;
10;Cuenta corriente;Entidad en Londres;8292;
11;Cuenta corriente;La Caixa;2000;
12;Cuenta corriente;Entidad bancaria en Madrid;916;
12;Cuenta corriente;Entidad bancaria en Madrid;60060;
13;Cuenta corriente;Caja de Ingenieros;1500;
13;Cuenta ahorro;Caja de Ingenieros;3000;
13;Cuenta ahorro;Caja de Ingenieros (recibido por donación);27000;
14;Cuenta corriente;Bankia;3600;
15;Cuenta corriente;ING Bank;7700;
15;Cuenta corriente;CaixaBank S.A.;2593;
15;Cuenta ahorro;CaixaBank S.A.;5160;
15;Cuenta ahorro;Bankia;650;
16;Cuenta corriente;Bankia;15000;
17;Cuenta corriente;Banco Santander;3700;
18;Libreta fácil;Bankia;1913;
18;Cuenta corriente;Ibercaja;3357;
18;Cuenta ahorro;Kutxabank;132039;
18;Plan fácil;Kutxabank;8296;
18;KB Gestión;Kutxabank;20002;
19;Cuentas varias;Bankia;16141,59;
20;Cuenta corriente;Banco Sabadell;2754,52;
20;Cuenta ahorro;ING Direct;10721,49;
20;Cuenta corriente;ING Direct;579,2;
21;Cuentas vta.;Banco Santander (conjuntas cónyuge);3716,15;
21;Cuentas vta.;Bankia (conjuntas cónyuge);12312,79;
22;Cuenta corriente;BBVA;4.269,35 € (saldo a 20/07/2016);
22;Cuenta corriente;Bankinter;16.653,36 € (saldo a 20/07/2016);
23;Cuenta corriente;Bankia;12820,37;
24;Cuenta naranja;ING Direct (cotitular);37618;
24;Cuenta nómina;ING Direct (cotitular);3293;
25;Cuenta corriente;ING Direct;1000;
25;Cuenta corriente;ING Direct;1000;
25;Cuenta corriente;ING Direct;100;
25;Cuenta de ahorro;Banco de Santander;100;
26;Cuenta corriente;La Caixa;3000;
27;Cuenta corriente;BBVA (cuenta propia);1300;
27;Cuenta corriente;Caja de Ingenieros (cuenta compartida);13100;
27;Cuenta corriente;Caja Madrid - Bankia- (cuenta compartida);16000;
28;Depósito;ING Direct;18000;
29;Cuenta ahorro;Kutxabank;2587,18;
29;Cuenta ahorro;Banco Santander (cerrada 18/07/2016);2994,59;
29;Cuenta ahorro;Banco Santander (cerrada 18/07/2016);59,47;
29;Cuenta ahorro;BBVA (cerrada 25/08/2015);10,75;
30;Cuenta corriente;Caja de Ingenieros;21148,02;
31;Cuenta corriente;BBVA;40749;
32;Cuenta corriente;ING Direct;3736,38;
32;Cuenta corriente;ING Direct;66914,39;
