CodigoPersona,Entidad,Cargo o categoría,Fecha Inicio,Fecha Cese
3,Abogacía General del Estado,Abogado del Estado (autorizada compatibilidad),08/05/2015,
5,Empresa Municipal de Servicios Funerarios y Cementerios de Madrid,Miembro del Consejo de Administración en representación del Grupo Popular (sin retribución),01/07/2016,
21,S.G.Admón.Financiera de Admón. Periférica - D.G.Coord.Ad.Periférica - Ministerio de Hacienda y AA.PP.,Funcionaria de carrera - Consejera Técnica N-28,13/06/2015,
37,MERCAMADRID,VICEPRESIDENTE,01/04/2016,
37,SOC.MUNICIPAL SERVICIOS FUNERARIOS,CONSEJERO,01/07/2016,
40,Junta de Castilla y León,Personal de servicios,23/11/1998,01/01/2005
40,Ayuntamiento de Madrid,P.O.S.I.,03/01/2005,12/06/2015
39,Universidad Autónoma de Madrid,Profesor asociado (autorizada compatibilidad por Ayuntamiento de Madrid),2015,2016
44,Agencia Estatal Administración Tributaria,Jefe Equipo Inspección - Inspector Hacienda (servicio activo),2011,
50,Empresa de Servicios Funerarios y Cementerios de Madrid S.A. (capital 100% municipal),Consejero,01/07/2016,
57,Ayuntamiento de Madrid,Letrada en situación de servicios especiales,,
