CódigoPersona,Clase,Importe actual en euros,Observaciones
1,Pago impuestos fraccionados,"45,551.00 €",
2,Hipoteca,"152,595.68 €",
3,Hipoteca,"236,908.23 €",
3,Préstamo personal,"2,752.46 €",
4,Hipoteca sobre vivienda 50%,"29,420.07 €", 
5,Hipoteca Caixa (datos a junio 2015),"248,821.00 €",
5,Préstamo compra vehículo  (datos a junio 2015),"10,460.00 €",
6,Préstamo,"200,000.00 €",
8,Hipoteca,"176,621.23 €",
8,Crédito Hipoteca,"11,569.97 €",
8,Crédito inmediato,"11,408.37 €",
10,Hipoteca,"32,114.00 €",
10,Hipoteca 50%,"123,200.00 €",
11,Hipoteca,"380,000.00 €",Vivienda habitual
11,Préstamo personal,"70,000.00 €",
11,Préstamo personal,"15,000.00 €",
14,Hipoteca,"248,500.00 €",
14,Hipoteca,"157,121.00 €",
15,Vehículo,"9,308.00 €",
17,Hipoteca 50%,"95,960.00 €", 
17,Hipoteca 100%,"36,878.00 €", 
19,Hipoteca,"266,287.45 €",
20,Hipoteca,"14,849.38 €",
20,Hipoteca,"71,140.07 €",
21,Hipoteca 50%,"172,212.00 €", 
21,Préstamo personal 50%,"14,524.00 €", 
21,Préstamo personal 50%,"34,490.00 €", 
23,Préstamo BANKIA,"2,985.94 €",
23,Préstamo BANKIA,"2,582.63 €",
24,Crédito hipotecario,"45,480.00 €",
25,Hipoteca sobre la vivienda,"146,202.00 €",
25,Crédito pago automóvil,"10,000.00 €",
29,Hipoteca,"123,505.99 €",
29,Hipoteca,"85,859.47 €",
31,Crédito hipotecario,"159,425.00 €",
35,Préstamo hipotecario Bankinter,"18,783.73 €",
36,Hipoteca,"18,000.00 €",
39,Hipoteca 50%,"93,592.00 €", 
39,Hipoteca 50%,"84,149.00 €", 
39,Hipoteca 50%,"54,760.00 €", 
40,Hipoteca,"114,271.30 €",
42,Rendimientos negativos: ,Por convenio regulador de divorcio sufraga las diferencias entre los intereses y el alquiler de 3 pisos a nombre de su exmujer destinado a sus 3 hijas hipoteca con 3 préstamos de Bankia (180.000+170.000+116.000 fecha de adquisición,
42,Préstamo hipotecario Santander 2003,"165,000.00 €",
42,Préstamo hipotecario Santander 2006,"90,000.00 €",
42,Tarjetas y personales,"98,000.00 €",
43,Préstamo hipotecario,"25,207.80 €",
43,Préstamo hipotecario,"118,236.71 €",
43,Préstamo financiación vehículo,"4,255.20 €",
48,Préstamo hipotecario,"108,494.11 €",
49,Hipoteca vivienda habitual,"152,899.90 €",
51,Hipoteca en Bankia,"155,764.10 €",
51,Hipoteca en Bankiter,"128,079.00 €",
51,Hipoteca en Bankia,"176,032.00 €",
52,Hipoteca 50%,"76,418.35 €", 
56,Hipoteca,"38,357.68 €",
57,Préstamo hipotecario,"125,171.84 €",
57,Préstamo hipotecario,"3,346.37 €",
57,Préstamo hipotecario,"496,479.35 €",
57,Reconocimiento de deuda personal,"175,775.00 €",
44,Préstamo familiar,"50,000.00 €",
