CodigoPersona,Clase,Entidad de depósito,Saldo medio anual o valor (euros)
1,Cuenta corriente, Bankia,"3,812.36 €"
1,Cuenta corriente,Bankia (Caja Ávila),"1,731.38 €"
1,Cuenta corriente,Bankia (Caja Ávila),"2,378.04 €"
1,Cuenta corriente,Banco Santander,"16,332.00 €"
1,Cuenta corriente,Open Bank,800.53 €
2,Cuenta corriente,Bankia,"2,089.50 €"
2,Cuenta corriente,Bankia,"29,502.57 €"
3,Cuenta corriente,ING Direct,"6,852.14 €"
3,Cuenta naranja,ING Direct,"75,378.75 €"
4,Cuenta corriente,Bankia (50%),"2,500.00 €"
4,Cuenta corriente,Banco Santander (50%),"1,500.00 €"
5,Cuenta corriente,La Caixa,"31.866,00 € (saldo a 11/07/2016)"
6,Cuenta corriente,Banco Sabadell,"12,000.00 €"
6,Depósito a plazo,Banco Sabadell,"50,000.00 €"
6,Cuenta corriente,Société Générale (París),"10,200.00 €"
6,Depósito a plazo,Société Générale (París),"23,350.00 €"
6,Plan Èpargne Logement (PER),Société Générale (París),"15,261.00 €"
7,Cuenta Corriente,Banco Santander,"5,000.00 €"
8,Libreta de ahorro,Bankia,"1,200.00 €"
8,Libreta de ahorro,Bankia,300.00 €
9,Cuenta corriente,Catalunya Banc,"5,143.28 €"
9,Cuenta corriente,Catalunya Banc,"91,000.00 €"
10,Cuenta corriente,Entidad en Madrid,"55,100.00 €"
10,Cuenta corriente,Entidad en Madrid,"25,673.00 €"
10,Cuenta corriente,Entidad en Madrid,"7,011.00 €"
10,Cuenta corriente,Entidad en Madrid,"4,826.00 €"
10,Cuenta corriente,Entidad en Madrid,"5,400.00 €"
10,Cuenta corriente,Entidad en Nueva York,"2,242.00 €"
10,Cuenta corriente,Entidad en Londres,"8,292.00 €"
11,Cuenta corriente,La Caixa,"2,000.00 €"
12,Cuenta corriente,Entidad bancaria en Madrid,916.00 €
12,Cuenta corriente,Entidad bancaria en Madrid,"60,060.00 €"
13,Cuenta corriente,Caja de Ingenieros,"1,500.00 €"
13,Cuenta ahorro,Caja de Ingenieros,"3,000.00 €"
13,Cuenta ahorro,Caja de Ingenieros (recibido por donación),"27,000.00 €"
14,Cuenta corriente,Bankia,"3,600.00 €"
15,Cuenta corriente,ING Bank,"7,700.00 €"
15,Cuenta corriente,CaixaBank S.A.,"2,593.00 €"
15,Cuenta ahorro,CaixaBank S.A.,"5,160.00 €"
15,Cuenta ahorro,Bankia,650.00 €
16,Cuenta corriente,Bankia,"15,000.00 €"
17,Cuenta corriente,Banco Santander,"3,700.00 €"
18,Libreta fácil,Bankia,"1,913.00 €"
18,Cuenta corriente,Ibercaja,"3,357.00 €"
18,Cuenta ahorro,Kutxabank,"132,039.00 €"
18,Plan fácil,Kutxabank,"8,296.00 €"
18,KB Gestión,Kutxabank,"20,002.00 €"
19,Cuentas varias,Bankia,"16,141.59 €"
20,Cuenta corriente,Banco Sabadell,"2,754.52 €"
20,Cuenta ahorro,ING Direct,"10,721.49 €"
20,Cuenta corriente,ING Direct,579.20 €
21,Cuentas vta.,Banco Santander (conjuntas cónyuge),"3,716.15 €"
21,Cuentas vta.,Bankia (conjuntas cónyuge),"12,312.79 €"
22,Cuenta corriente,BBVA,"4.269,35 € (saldo a 20/07/2016)"
22,Cuenta corriente,Bankinter,"16.653,36 € (saldo a 20/07/2016)"
23,Cuenta corriente,Bankia,"12,820.37 €"
24,Cuenta naranja,ING Direct (cotitular),"37,618.00 €"
24,Cuenta nómina,ING Direct (cotitular),"3,293.00 €"
25,Cuenta corriente,ING Direct,"1,000.00 €"
25,Cuenta corriente,ING Direct,"1,000.00 €"
25,Cuenta corriente,ING Direct,100.00 €
25,Cuenta de ahorro,Banco de Santander,100.00 €
26,Cuenta corriente,La Caixa,"3,000.00 €"
27,Cuenta corriente,BBVA (cuenta propia),"1,300.00 €"
