Fecha de declaración,Número Registro,CodigoPersona,Grupo político,Apellido 1,Apellido 2,Nombre,,,,,,,,,,,,,,,,,,,,,,
16/11/2015,,1,Grupo Municipal del Partido Popular,Aguirre,Gil de Biedma,Esperanza,,,,,,,,,,,,,,,,,,,,,,
17/11/2015,,2,Grupo Municipal del Partido Popular,Henríquez de Luna,Losada,Iñigo,,,,,,,,,,,,,,,,,,,,,,
17/11/2015,,3,Grupo Municipal del Partido Popular,Martínez-Almeida,Navasqüés,José Luis,,,,,,,,,,,,,,,,,,,,,,
13/11/2015,,4,Grupo Municipal del Partido Popular,Delibes,Liniers,Alicia,,,,,,,,,,,,,,,,,,,,,,
17/11/2015,,5,Grupo Municipal del Partido Popular,Sanz,Otero,María Inmaculada,,,,,,,,,,,,,,,,,,,,,,
17/11/2015,,6,Grupo Municipal del Partido Popular,Manglano,Albacar,Percival Peter,,,,,,,,,,,,,,,,,,,,,,
17/11/2015,,7,Grupo Municipal del Partido Popular,Martínez,Vidal,Fernando,,,,,,,,,,,,,,,,,,,,,,
17/11/2015,,8,Grupo Municipal del Partido Popular,Elorriaga,Pisarik,Beatriz María,,,,,,,,,,,,,,,,,,,,,,
17/11/2015,,9,Grupo Municipal del Partido Popular,Rosell,Volart,Isabel,,,,,,,,,,,,,,,,,,,,,,
16/11/2015,,10,Grupo Municipal del Partido Popular,Moreno,Casas,José Luis,,,,,,,,,,,,,,,,,,,,,,
17/11/2015,,11,Grupo Municipal del Partido Popular,Cavero,Martínez de Campos,Pablo,,,,,,,,,,,,,,,,,,,,,,
17/11/2015,,12,Grupo Municipal del Partido Popular,Martínez-Cubells,Yraola,María Isabel,,,,,,,,,,,,,,,,,,,,,,
17/11/2015,,13,Grupo Municipal del Partido Popular,Maíllo,Del Valle,Almudena,,,,,,,,,,,,,,,,,,,,,,
17/11/2015,,14,Grupo Municipal del Partido Popular,Carabante,Muntada,Francisco de Borja,,,,,,,,,,,,,,,,,,,,,,
17/11/2015,,15,Grupo Municipal del Partido Popular,González,López,Alvaro,,,,,,,,,,,,,,,,,,,,,,
17/11/2015,,16,Grupo Municipal del Partido Popular,Román,Martín,Ana María,,,,,,,,,,,,,,,,,,,,,,
17/11/2015,,17,Grupo Municipal del Partido Popular,Fanjul,Fernández-Pita,Francisco de Borja,,,,,,,,,,,,,,,,,,,,,,
17/11/2015,,18,Grupo Municipal del Partido Popular,Castell,Díaz,María Carmen,,,,,,,,,,,,,,,,,,,,,,
16/11/2015,2015/104,19,Grupo Municipal del Partido Popular,Moreno,Sánchez,Jesús,,,,,,,,,,,,,,,,,,,,,,
16/11/2015,,20,Grupo Municipal del Partido Popular,Corral,Corral,Pedro María,,,,,,,,,,,,,,,,,,,,,,
17/11/2015,,21,Grupo Municipal del Partido Popular,Larrainzar,Zaballa,María Begoña,,,,,,,,,,,,,,,,,,,,,,
6/12/2015,2015/116,22,Grupo Municipal Ahora Madrid,Carmena,Castrillo,Manuela,,,,,,,,,,,,,,,,,,,,,,
6/10/2015,2015/089,23,Grupo Municipal Ahora Madrid,Murgui,Parra,Ignacio,,,,,,,,,,,,,,,,,,,,,,
6/11/2015,2015/096,24,Grupo Municipal Ahora Madrid,Sabanés,Nadal,Inés,,,,,,,,,,,,,,,,,,,,,,
6/11/2015,2015/100,25,Grupo Municipal Ahora Madrid,Valiente,Ots,Mauricio,,,,,,,,,,,,,,,,,,,,,,
6/11/2015,2015/110,26,Grupo Municipal Ahora Madrid,Maestre,Fernández,Rita,,,,,,,,,,,,,,,,,,,,,,
6/9/2015,2015/078,27,Grupo Municipal Ahora Madrid,Carmona,Pascual,Pablo César,,,,,,,,,,,,,,,,,,,,,,
6/10/2015,2015/086,28,Grupo Municipal Ahora Madrid,Higueras,Garrobo,Marta María,,,,,,,,,,,,,,,,,,,,,,
6/11/2015,2015/105,29,Grupo Municipal Ahora Madrid,Soto,Bravo,Pablo,,,,,,,,,,,,,,,,,,,,,,
6/9/2015,2015/102,30,Grupo Municipal Ahora Madrid,Mayer,Duque,Celia,,,,,,,,,,,,,,,,,,,,,,
6/12/2015,2015/115,31,Grupo Municipal Ahora Madrid,García,Castaño,Jorge,,,,,,,,,,,,,,,,,,,,,,
6/9/2015,2015/063,32,Grupo Municipal Ahora Madrid,Gómez,Lahoz,Marta,,,,,,,,,,,,,,,,,,,,,,
