CodigoPersona,Clase,Entidad de depósito,Saldo medio anual o valor (euros),,,,,,,,,,,,,,,,,,,,,,
1,Cuenta corriente,Bankia,"3,812.36 €",,,,,,,,,,,,,,,,,,,,,,
1,Cuenta corriente,Bankia (Caja Ávila),"1,731.38 €",,,,,,,,,,,,,,,,,,,,,,
1,Cuenta corriente,Bankia (Caja Ávila),"2,378.04 €",,,,,,,,,,,,,,,,,,,,,,
1,Cuenta corriente,Banco Santander,"44,866.65 €",,,,,,,,,,,,,,,,,,,,,,
2,Cuenta corriente,Bankia,"2,565.75 €",,,,,,,,,,,,,,,,,,,,,,
2,Cuenta corriente,Bankia,"35,055.07 €",,,,,,,,,,,,,,,,,,,,,,
3,Cuenta corriente,ING Direct,"3,451.92 €",,,,,,,,,,,,,,,,,,,,,,
3,Cuenta naranja,ING Direct,"29,941.73 €",,,,,,,,,,,,,,,,,,,,,,
4,Cuenta corriente,Bankia (50%),"2,500.00 €",,,,,,,,,,,,,,,,,,,,,,
4,Cuenta corriente,Banco Santander (50%),"5,000.00 €",,,,,,,,,,,,,,,,,,,,,,
5,Cuenta corriente,Caixa,"19,842.00 €",,,,,,,,,,,,,,,,,,,,,,
6,Cuenta corriente,Madrid,"20,000.00 €",,,,,,,,,,,,,,,,,,,,,,
6,Depósito a plazo,Madrid,"60,000.00 €",,,,,,,,,,,,,,,,,,,,,,
6,Cuenta corriente,París,"12,500.00 €",,,,,,,,,,,,,,,,,,,,,,
6,Depósito a plazo,París,"23,143.00 €",,,,,,,,,,,,,,,,,,,,,,
6,Depósito PEL,París,"13,670.00 €",,,,,,,,,,,,,,,,,,,,,,
7,Cuenta corriente,Banco Santander,"7,000.00 €",,,,,,,,,,,,,,,,,,,,,,
8,Libreta de Ahorro,Bankia,"1,200.00 €",,,,,,,,,,,,,,,,,,,,,,
8,Libreta de Ahorro,Bankia,300.00 €,,,,,,,,,,,,,,,,,,,,,,
9,Cuenta corriente,Catalunya Banc,"1,970.00 €",,,,,,,,,,,,,,,,,,,,,,
9,Imposiciones a plazo,Catalunya Banc,"236,810.00 €",,,,,,,,,,,,,,,,,,,,,,
10,Cuenta corriente,en Madrid,"70,507.00 €",,,,,,,,,,,,,,,,,,,,,,
10,Cuenta corriente,en Madrid,"53,054.00 €",,,,,,,,,,,,,,,,,,,,,,
10,Cuenta corriente,en Madrid,"4,300.00 €",,,,,,,,,,,,,,,,,,,,,,
10,Cuenta corriente,en Londres,"4,100.00 €",,,,,,,,,,,,,,,,,,,,,,
10,Cuenta corriente,en Nueva York,"2,970.00 €",,,,,,,,,,,,,,,,,,,,,,
10,Cuenta corriente,en Madrid,"1,250.00 €",,,,,,,,,,,,,,,,,,,,,,
11,Cuenta corriente,Caixa,"2,000.00 €",,,,,,,,,,,,,,,,,,,,,,
12,Cuenta Corriente,Entidad Bancaria en Madrid,"1,000.00 €",,,,,,,,,,,,,,,,,,,,,,
12,Cuenta Corriente,Entidad Bancaria en Madrid,"60,282.00 €",,,,,,,,,,,,,,,,,,,,,,
13,Cuenta corriente  ,Caja de Ingenieros,"1,500.00 €",,,,,,,,,,,,,,,,,,,,,,
13,Cuenta de ahorro  ,Caja de Ingenieros,"3,000.00 €",,,,,,,,,,,,,,,,,,,,,,
14,Cuenta corriente ,Bankia,"5,890.00 €",,,,,,,,,,,,,,,,,,,,,,
15,Cuenta corriente ,ING Bank (50%),"15,357.38 €",,,,,,,,,,,,,,,,,,,,,,
15,Cuenta corriente  ,Caixa Bank (50%),"5,268.82 €",,,,,,,,,,,,,,,,,,,,,,
15,Cuenta de ahorro  ,Caixa Bank (50%),"10,806.41 €",,,,,,,,,,,,,,,,,,,,,,
15,Cuenta de ahorro  ,Bankia (50%),"3,517.67 €",,,,,,,,,,,,,,,,,,,,,,
