Nombre,Apellidos,Tipo de cargo,Cargo,Unidad
JORGE,ÁLVAREZ FERNÁNDEZ,Eventual,ASESOR/A N24,UNIDAD DE PERSONAL EVENTUAL
DELIA,BERBEL AGUINAGA,Directivo,COORDINADOR/A DE DISTRITO,COORDINACIÓN DEL DISTRITO DE SAN BLAS-CANILLEJAS
JOSÉ LUIS,BLANCO CARMONA,Eventual,ASESOR/A N26,GRUPO MUNICIPAL PARTIDO POPULAR
MARÍA ÁNGELES,CANALDA CRIADO,Eventual,ADMINISTRATIVO/A,GRUPO MUNICIPAL CIUDADANOS - PARTIDO DE LA CIUDADANÍA
BORJA,COROMINAS FISAS,Concejal,Concejal,GRUPO MUNICIPAL PARTIDO POPULAR
CESAR,DE LA CRUZ CUENCA,Directivo,DIRECTOR/A GENERAL,DIRECCIÓN GENERAL DE COMUNICACIÓN
JOSE LUIS,DE PABLO TRABALÓN,Directivo,COORDINADOR/A DE DISTRITO,COORDINACIÓN DEL DISTRITO DE CIUDAD LINEAL
NURIA,DEL RIO PARACOLLS,Eventual,ASESOR/A N26,CONCEJAL PRESIDENTE JMD CENTRO
MARÍA DEL MAR,ESPINAR MESA-MOLES,Concejal,Concejala,GRUPO MUNICIPAL SOCIALISTA DE MADRID
ANTONIO,FERNÁNDEZ GORDILLO,Eventual,ASESOR/A N26,GRUPO MUNICIPAL SOCIALISTA DE MADRID
CONSUELO,FERNÁNDEZ GUADIÁN,Eventual,ASESOR/A N26,GRUPO MUNICIPAL AHORA MADRID
PABLO,FERNÁNDEZ LEWICKI,Eventual,ASESOR/A N26,CONCEJAL PRESIDENTE JMD CHAMBERÍ
PAULA RAQUEL,FOULKES PUSZKIN,Eventual,VOCAL ASESOR/A,UNIDAD DE PERSONAL EVENTUAL
MARÍA TERESA,GAMARRA RODRÍGUEZ,Eventual,ASESOR/A N26,CONCEJAL PRESIDENTE JMD VILLAVERDE
BEATRIZ,GARCÍA SAN GABINO,Directivo,DIRECTOR/A GENERAL,DIRECCIÓN GENERAL DE GESTIÓN DEL AGUA Y ZONAS VERDES
MARIA PILAR,GARCÍA SANZ,Eventual,ASESOR/A N26,GRUPO MUNICIPAL AHORA MADRID
LOURDES,GÓMEZ FERNÁNDEZ,Eventual,ASESOR/A N26,CONCEJAL PRESIDENTE JMD HORTALEZA
JOSÉ LUIS,GONZÁLEZ DEL MORAL,Eventual,ASESOR/A N26,CONCEJAL PRESIDENTE JMD ARGANZUELA
AMALIA PALOMA,GONZÁLEZ JIMÉNEZ,Eventual,ASESOR/A N26,CONCEJAL PRESIDENTE JMD USERA
JOSÉ LUIS,HERRERO BARRIENTOS,Eventual,ASESOR/A N26,UNIDAD DE PERSONAL EVENTUAL
ALEJANDRO,KLECKER DE ELIZALDE,Eventual,VOCAL ASESOR/A,UNIDAD DE PERSONAL EVENTUAL
GUILLERMO,MARTÍNEZ FERRER,Eventual,ASESOR/A N26,CONCEJAL PRESIDENTE JMD VICÁLVARO
IGNACIO,MARTÍNEZ PADILLA,Eventual,ASESOR/A N26,UNIDAD DE PERSONAL EVENTUAL
MARÍA JOSE,MONZÓN MAYO,Directivo,INTERVENTOR/A GENERAL,INTERVENCIÓN GENERAL
JOSÉ,MORENO ARRONES SALCEDO,Eventual,ASESOR/A N26,CONCEJAL PRESIDENTE JMD CIUDAD LINEAL
MARÍA LUZ,OCAÑA LENA,Eventual,ADMINISTRATIVO/A,GRUPO MUNICIPAL PARTIDO POPULAR
DANIEL JERÓNIMO,OLLERO LOPEZ,Eventual,ASESOR/A N26,CONCEJAL PRESIDENTE JMD VILLA DE VALLECAS
MARTA,PEREYRA DE LA IGLESIA,Eventual,ASESOR/A N26,GRUPO MUNICIPAL SOCIALISTA DE MADRID
ION,PÉREZ DE LA FUENTE,Eventual,ADMINISTRATIVO/A,GRUPO MUNICIPAL CIUDADANOS - PARTIDO DE LA CIUDADANÍA
ANA MARÍA,PRADOS VEGA,Eventual,ADMINISTRATIVO/A,GRUPO MUNICIPAL SOCIALISTA DE MADRID
ERIKA MARÍA,RODRÍGUEZ PINZÓN,Concejal,Concejala,GRUPO MUNICIPAL SOCIALISTA DE MADRID
RAÚL,RUANO MONGE,Eventual,ADMINISTRATIVO/A,GRUPO MUNICIPAL PARTIDO POPULAR
GETSEMANI,SAN MARCOS SÁNCHEZ,Directivo,DIRECTOR/A GENERAL,DIRECCIÓN GENERAL DE PROGRAMAS Y ACTIVIDADES CULTURALES
IRIS MARCELA,URQUIDI ROCHA,Eventual,ASESOR/A N24,UNIDAD DE PERSONAL EVENTUAL
JOSÉ MARÍA,URQUIJO AZCÁRATE,Eventual,VOCAL ASESOR/A,UNIDAD DE PERSONAL EVENTUAL
ROSA,VALIENTE ARGUDO,Eventual,ASESOR/A N26,CONCEJAL PRESIDENTE JMD CHAMARTIN
SILVIA,VILLACAÑAS BEADES,Directivo,DIRECTOR/A GENERAL,DIRECCIÓN GENERAL DE ESTRATEGIA Y REGENERACIÓN URBANA
GUSTAVO,VILLANUEVA RODRÍGUEZ,Eventual,JEFE/A SECRETARIA,GRUPO MUNICIPAL PARTIDO POPULAR
JUAN ANDRÉS,WALLISER MARTÍNEZ,Eventual,ASESOR/A N28,UNIDAD DE PERSONAL EVENTUAL
