ONG,TÍTULO PROYECTO,TIPOLOGÍA,PAÍS,AÑO DE EJECUCIÓN,SUBVENCIÓN €
ASOCIACION DE AMIGOS DEL PUEBLO SAHARAUI,"Equipamientodematerialdiversoparaescuela""12deOctubre""decampamentosrefugiadossaharauisenTinduf",Cooperación al Desarrollo,ARGELIA,1995,"72.891,08"
ASOCIACION POR LA PAZ Y EL DESARROLLO,MejoradelaviviendaenelbarriodeCondabamba,Cooperación al Desarrollo,BOLIVIA,1995,"21.401,94"
ASOCIACIÓN TRÓPICO VOLUNTARIOS PARA EL DESARROLLO,Colegio de enseñanza Primaria en el barrio de Guaricano,Cooperación al Desarrollo,República Dominicana,1995,"58.927,72"
MISIÓN AMÉRICA,Casadeacofidaahijosdeprostitutas,Cooperación al Desarrollo,México,1995,"37.597,64"
C.E.A.R.(COMISIONESPAÑOLADEAYUDAALREFUGIADO),RehabilitaciónyapoyomaterialaretornadosaRwanda,Cooperación al Desarrollo,RUANDA,1995,"185.621,09"
ISCOD-INSTITUTO SINDICAL DE COOPERACIÓN AL DESARROLLO,Desarrollo de la capacidad de gestión de poblacionesi ndígenas,Cooperación al Desarrollo,Ecuador,1995,"49.129,13"
CENTRO DE ESTUDIOS Y SOLIDARIDAD CON AMÉRICA LATINA (CESAL),Programa de desarrollo Agropecuario para el autosostenimiento de una red de comedores populares,Cooperación al Desarrollo,Perú,1995,"39.920,67"
CENTRO DE ESTUDIOS Y SOLIDARIDAD CON AMÉRICA LATINA (CESAL),Creación de infrastructura edcativa con constrcción de un Centro Educación Ocupacional en Chepén,Cooperación al Desarrollo,Perú,1995,"74.629,94"
MEDICOS DEL MUNDO,Desarrollo sanitario para Mangola Chini,Cooperación al Desarrollo,Tanzania,1995,"291.839,16"
ASOCIACIÓN COMISIÓN CATÓLICA ESPAÑOLA DE MIGRACIÓN. ACCEM,Programa de atención a las Migraciones forzadas en la región de Centroamérica,Cooperación al Desarrollo,Guatemala,1995,"80.925,61"
COOPERACIÓN SOCIAL,ProyectodedesarrollodelacomunidaddeHatillo,Cooperación al Desarrollo,República Dominicana,1995,"61.303,23"
AMISTAD EUROPEA.PROYECTO SOLIDARIO (ONGD),ProyectodeampliacióndeexplotaciónapícolaenSanJuandeDiosenelvalledeMantaro,Cooperación al Desarrollo,Perú,1995,"8.135,25"
FEDERACIÓN ESPAÑOLA DE RELIGIOSOS ENSEÑANZA .FERE,Promoción de la mujeren Akurenan,Cooperación al Desarrollo,GuineaEcuatorial,1995,"6.010,12"
FEDERACIÓN ESPAÑOLA DE RELIGIOSOS ENSEÑANZA .FERE,Colegio Sta .Ana de Añisok,Cooperación al Desarrollo,Guineaecuatorial,1995,"9.195,49"
PROYECTO CULTURA Y SOLIDARIDAD,"Formación,capacitaciónyasesoríademaestros/asdeescuelaspúblicasparaunaeducaciónendemocracia,participaciónydesarrollo",Cooperación al Desarrollo,República Dominicana,1995,"83.364,31"
PROYECTO CULTURA Y SOLIDARIDAD,"Proyectodeescolarizacióninfantil(3a7años)ypromocióndelamuferenlosbarriosdeFann,Gueule-ParéeyFann-HockDakar",Cooperación al Desarrollo,Senegal,1995,"5.108,60"
FUNDACION ESPAÑOLA PARA LA COOPERACION. SOLIDARIDAD INTERNACIONAL,ConstrucciónyequipamientodedosescuelasprimariasenloscampamentosderefugiadosSaharauis,Cooperación al Desarrollo,Argelia,1995,"95.786,30"
FUNDACION ESPAÑOLA PARA LA COOPERACION. SOLIDARIDAD INTERNACIONAL,Programadeinseciónlaboralyviverodeempresas,Cooperación al Desarrollo,Perú,1995,"96.762,95"
SAVE THE CHILDREN,"Apoyoalaeducaciónsecundaria,dotacióndeinfraestructurayequipamientobásicodeuncentroalbergueparjóvenesretornados",Cooperación al Desarrollo,Guatemala,1995,"24.186,24"
MANOS UNIDAS. COMITE CATOLICO DE CAMPAÑA CONTRA EL HAMBRE EN EL MUNDO,"Centrodeformacióndetécnicoseneducación,salud,agropecuariaparalascomunidadesruralesAymarasdelCantónEscoma",Cooperación al Desarrollo,Bolivia,1995,"131.736,32"
MANOS UNIDAS. COMITE CATOLICO DE CAMPAÑA CONTRA EL HAMBRE EN EL MUNDO,MejoramientodelainfraestructuraeducativadelInstitutoTécnicoLoyolaElProgreso,Cooperación al Desarrollo,Honduras,1995,"144.824,52"
MANOS UNIDAS. COMITE CATOLICO DE CAMPAÑA CONTRA EL HAMBRE EN EL MUNDO,DesarrolloruralintegradodecomunidadesmarginadasenlaaustralregióndeMagallanes,Cooperación al Desarrollo,Chile,1995,"194.535,59"
LUMENDEI-PRODEIN,"Ordeño,pasterizadoyenvasadodelechedelagranjaesculadeYucay",Cooperación al Desarrollo,Perú,1995,"76.629,04"
FUNDACIÓNPASTRANA,ColegioAndahuaylillas,Cooperación al Desarrollo,Perú,1995,"90.483,57"
